,,,,,,,
,0 cm,5 cm,10 cm,15 cm,20 cm,25 cm,30 cm
,742,752,749,743,810,743,743
,704,752,742,743,722,743,741
,1021,753,741,750,717,743,750
,663,745,739,752,677,751,690
,558,746,750,751,677,752,702
,598,743,751,848,801,752,723
,662,533,750,843,763,686,800
,899,566,744,818,809,625,791
,668,936,928,744,737,907,761
,321,1006,679,795,701,832,809
,762,732,665,843,718,732,711
,885,801,647,672,679,867,758
,228,1023,552,720,810,653,808
,866,917,561,724,654,632,739
,173,446,880,790,741,670,769
,385,329,909,854,711,649,711
,1023,599,927,831,777,779,804
,1023,1023,680,678,730,810,705
,1023,474,999,724,743,649,760
,46,934,595,596,728,622,704
,381,433,793,754,816,686,695
,304,662,536,789,827,788,747
,790,554,561,851,763,791,690
,379,408,670,652,705,864,685
,350,518,901,813,827,833,763
,531,1023,937,715,815,624,718
,877,477,806,793,823,803,709
,621,621,707,646,666,815,774
,409,1023,772,822,788,667,694
,675,440,811,670,830,797,707
,817,773,779,851,720,673,697
,339,1023,840,825,814,868,807
,297,1023,931,848,651,721,690
,496,1023,647,877,789,847,760
,1023,683,868,753,779,878,817
,1023,668,672,854,843,868,716
,871,616,938,697,772,668,744
,1023,1023,756,695,822,639,691
,1023,525,706,642,812,845,794
,590,894,648,753,698,740,798
,1023,557,984,660,681,640,716
,982,486,916,647,687,720,775
,1002,1001,546,647,734,593,726
,727,384,620,644,751,701,746
,835,697,720,806,741,839,690
,900,570,579,682,742,585,736
,804,705,576,755,751,730,790
,423,908,541,630,752,637,727
,922,1014,735,804,751,709,717
,983,1015,920,853,743,664,724
,907,1023,933,616,743,740,765
,829,981,497,822,741,585,739
,690,627,744,863,743,636,733
,749,1023,927,800,749,862,713
,741,772,585,694,749,619,787
,740,1023,563,619,743,792,729
,742,593,977,728,743,654,742
,748,988,570,845,743,755,742
,752,612,727,603,743,780,749
,750,984,573,751,749,777,751
,744,771,936,751,751,750,751
,742,753,774,743,751,751,740
,742,751,750,743,743,738,740
,741,752,742,743,743,741,740
,750,752,742,751,741,740,740
,748,745,742,751,748,750,749
,749,745,751,751,751,750,750
,742,744,749,742,751,751,743
,740,753,751,742,743,746,739
,742,752,743,743,743,743,741
,750,752,744,742,743,741,739
,749,745,742,748,751,751,749
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
