USB3            USB4
741             838
750             839
751             840
751             843
743             839
743             838
743             835
750             839
750             840
753             842
741             838
742             838
745             836
750             840
751             841
749             840
657             828
821             841
920             842
887             851
937             851
645             828
864             841
546             819
540             825
927             847
739             847
705             829
614             824
692             840
785             846
922             848
498             829
841             847
743             829
982             850
660             829
603             836
818             835
916             845
759             832
649             839
564             831
537             831
805             845
915             844
499             823
599             833
622             838
745             832
545             824
887             847
636             838
731             843
851             849
609             833
615             823
832             847
911             851
636             840
877             850
831             846
923             844
552             827
572             829
594             835
900             844
618             824
985             849
612             835
942             850
1007            851
542             824
480             822
920             846
919             853
811             842
751             839
742             835
741             838
743             839
743             841
751             839
750             839
751             837
743             839
742             840
742             840
750             839
745             835
744             839
740             839
742             841
743             838
750             839
748             836
750             840
742             840
746             840
742             838
751             835
749             839
751             840
743             841
742             838
742             838
747             836
751             840
751             841
740             839
743             838
742             835
744             839
750             840
751             842
750             839
743             838
742             836
742             839
750             842
750             841
750             839
705             836
877             849
568             829
685             830
935             847
776             846
825             846
799             846
537             828
745             846
883             850
827             842
653             829
658             829
581             825
873             849
940             844
718             844
786             837
632             831
948             847
758             835
675             835
692             829
548             827
674             828
926             847
644             833
772             848
747             845
550             829
893             849
809             845
913             841
572             829
561             830
907             851
610             826
822             841
896             848
644             838
571             831
685             827
779             846
982             848
592             826
635             832
918             851
751             840
751             835
743             840
742             839
740             841
750             839
751             837
750             839
742             839
742             842
743             839
750             839
750             836
751             840
742             839
743             840
741             838
753             836
751             839
750             840
742             841
742             838
742             838
750             836
750             840
750             841
739             839
742             838
742             835
744             839
749             840
751             843
750             839
742             838
743             836
741             839
750             842
749             841
750             839
742             835
742             839
741             839
750             842
751             839
750             839
744             838
928             848
679             841
665             829
647             829
552             822
561             829
880             843
909             844
927             845
680             834
999             849
595             826
793             849
536             823
561             827
670             835
901             846
937             847
806             834
707             840
772             831
811             834
779             847
840             841
931             846
647             828
868             847
672             839
938             849
756             847
706             840
648             833
984             847
916             850
546             828
620             835
720             831
579             822
576             830
541             828
735             846
920             849
933             841
497             823
744             834
927             850
585             824
563             823
977             849
570             829
727             846
573             823
936             846
774             837
750             840
742             839
742             841
742             838
751             839
749             838
751             840
743             842
744             839
742             838
750             835
750             840
750             840
740             841
742             838
741             838
742             837
750             840
750             842
751             840
740             838
741             834
740             840
750             840
750             847
750             838
742             838
748             837
742             840
749             844
749             840
750             839
743             831
742             840
741             839
