USB3            USB4
740             835
749             839
750             840
750             842
742             838
739             838
738             836
749             840
751             841
749             840
740             838
739             835
742             839
750             840
749             842
749             838
741             838
320             814
917             859
390             817
944             849
1023            860
388             819
583             815
422             810
869             836
622             819
877             855
207             795
1023            862
452             811
250             807
686             843
1023            848
1023            861
969             854
831             832
440             808
997             849
519             817
797             855
1023            853
446             810
403             821
658             843
412             813
515             812
1023            861
1023            857
573             835
778             855
772             850
505             815
567             811
1006            848
832             833
1023            854
351             809
1023            857
1023            855
1003            864
703             822
706             823
406             821
658             823
927             862
489             833
594             836
391             815
889             851
725             838
749             842
742             838
741             838
743             836
750             840
746             839
744             840
739             837
740             836
739             838
750             840
749             842
748             840
740             838
738             835
742             839
750             840
750             842
750             839
747             839
741             837
741             839
740             841
752             841
749             839
753             836
741             839
739             839
742             841
750             839
749             839
751             837
739             839
740             840
740             839
749             839
750             836
750             839
739             838
739             841
739             838
749             839
750             836
276             809
416             812
1023            846
592             836
615             836
286             802
963             860
402             809
577             813
1016            858
38              791
1023            863
278             814
479             812
924             855
719             844
1023            862
1023            860
481             812
590             813
1023            851
1023            862
1021            842
388             811
451             806
839             834
1023            855
479             831
453             823
1023            858
1023            857
574             818
517             811
510             815
924             855
646             822
499             815
417             806
1023            850
362             812
329             800
849             856
553             835
970             842
635             840
100             797
330             812
376             815
1023            852
340             809
283             801
709             837
739             839
739             839
750             839
751             836
747             838
741             839
740             841
739             838
749             839
747             836
750             840
741             839
739             840
740             838
748             836
748             839
749             839
749             842
742             838
742             838
740             835
749             840
749             840
750             840
742             838
744             835
740             838
750             840
748             842
749             839
742             838
741             836
741             839
750             841
747             840
750             839
743             835
744             839
741             839
749             842
749             839
749             839
740             836
743             839
742             841
704             819
1021            848
663             819
558             813
598             839
662             842
899             859
668             817
321             816
762             851
885             862
228             808
866             836
173             798
385             812
1023            865
1023            851
1023            859
46              792
381             819
304             811
790             831
379             818
350             817
531             815
877             862
621             816
409             809
675             838
817             825
339             813
297             806
496             811
1023            862
1023            850
871             858
1023            856
1023            861
590             814
1023            857
982             847
1002            848
727             846
835             847
900             861
804             855
423             825
922             858
983             856
907             856
829             832
690             838
749             839
741             837
740             837
742             839
748             842
752             840
750             839
744             835
742             839
742             839
741             840
750             839
748             836
749             838
742             839
740             841
742             838
750             839
749             837
750             840
741             839
742             839
739             838
747             832
747             839
746             840
740             843
741             837
