USB3            USB4
741             842
748             840
751             839
752             836
743             838
743             839
741             841
751             839
751             839
752             837
743             839
742             839
744             840
750             839
751             837
752             839
804             839
627             835
666             829
855             843
876             844
746             844
859             845
655             838
782             845
655             834
872             846
797             846
635             834
635             837
839             845
855             843
594             829
828             840
631             835
696             829
629             830
628             827
641             835
731             842
709             841
628             831
675             835
655             827
665             835
810             847
803             847
816             844
755             832
581             826
649             835
671             839
824             847
642             830
785             834
862             847
733             842
639             836
811             837
634             831
648             835
859             847
804             847
759             846
662             830
702             833
751             834
755             836
714             843
882             850
636             832
872             844
766             841
741             839
743             841
751             839
751             839
751             838
743             839
743             840
739             839
747             839
747             835
747             839
748             840
742             841
743             839
742             838
751             836
751             840
751             840
743             841
741             838
743             839
751             837
751             840
753             841
746             840
743             838
743             836
753             839
750             840
753             843
749             840
743             838
743             835
750             840
751             840
751             842
743             838
743             838
742             836
748             840
750             839
751             841
751             839
867             842
889             850
648             835
875             849
604             832
645             833
803             834
643             829
816             846
676             838
662             836
652             830
850             843
823             846
792             846
719             835
831             839
858             844
652             827
771             846
837             842
733             844
752             835
737             839
909             847
753             844
690             832
582             827
869             848
800             842
599             827
851             843
689             839
636             829
639             830
673             832
647             835
844             847
734             844
625             830
710             831
712             840
766             846
635             832
844             849
623             830
689             826
917             848
824             839
623             834
702             829
729             841
878             844
639             834
750             840
748             841
738             837
741             838
743             836
751             840
751             840
753             841
743             838
741             835
739             838
751             840
751             842
749             840
743             838
742             835
742             839
751             840
751             842
751             839
743             839
742             836
743             839
751             840
752             841
751             839
744             836
745             838
743             839
747             842
750             840
751             839
751             836
743             839
741             839
741             841
751             839
752             839
753             837
743             839
743             839
743             841
751             839
752             838
752             839
686             830
625             835
907             849
832             846
732             839
867             841
653             830
632             832
670             835
649             834
779             835
810             846
649             831
622             835
686             835
788             844
791             835
864             849
833             843
624             829
803             844
815             841
667             837
797             845
673             839
868             850
721             840
847             838
878             847
868             848
668             832
639             830
845             847
740             841
640             833
720             841
593             831
701             837
839             838
585             827
730             841
637             837
709             831
664             834
740             839
585             826
636             830
862             846
619             830
792             845
654             832
755             837
780             845
777             844
750             839
751             839
738             836
741             839
740             840
750             840
750             839
751             836
746             839
743             839
741             841
751             840
750             839
751             836
743             839
744             839
740             840
751             839
750             839
751             837
750             840
740             840
741             839
741             838
752             835
748             839
751             840
743             843
743             838
