USB3            USB4
746             831
750             841
739             839
741             841
740             837
750             839
748             488
750             728
740             862
740             843
740             810
750             679
750             529
750             795
741             854
742             837
742             828
741             831
749             841
749             840
750             842
775             830
722             828
671             509
732             691
747             833
806             843
710             834
797             838
802             841
802             842
807             844
690             834
790             841
795             839
791             842
802             841
726             839
697             834
796             841
744             836
796             842
808             842
678             835
716             836
693             831
803             840
703             835
706             838
682             834
704             835
768             838
713             835
691             834
754             842
698             834
785             841
693             831
699             835
753             840
807             843
713             835
695             832
713             835
717             837
684             836
687             834
702             835
774             838
727             837
728             837
792             844
720             836
724             837
753             836
750             840
740             839
740             840
741             838
742             836
750             838
750             839
751             842
742             839
741             838
740             835
750             839
750             840
751             842
740             838
740             838
742             836
750             840
750             841
752             841
742             838
739             835
740             838
749             840
751             842
750             839
742             838
742             835
740             839
749             840
750             841
750             839
743             836
740             838
743             839
740             841
748             839
747             839
748             836
740             839
742             839
742             840
750             839
750             839
751             838
814             845
642             837
879             849
733             834
723             837
633             831
810             845
841             849
789             838
863             846
631             828
675             835
817             841
789             847
831             845
846             838
870             845
858             847
707             841
635             832
643             833
839             846
848             843
640             833
754             846
802             838
702             834
771             837
839             847
636             834
764             837
826             839
795             834
848             844
821             841
893             847
819             839
643             827
634             834
831             846
792             840
658             834
759             836
798             834
678             830
801             847
747             845
639             832
852             844
763             845
646             834
631             832
735             837
750             838
750             838
747             839
739             841
740             839
742             838
750             836
750             840
750             840
740             841
740             838
742             836
750             839
750             840
750             842
742             840
739             838
740             835
750             840
749             840
747             841
742             838
741             835
740             838
740             839
752             842
750             839
749             839
742             836
741             839
739             839
750             841
750             839
747             835
740             838
741             839
741             841
751             839
751             839
750             837
742             839
743             841
741             839
750             839
690             831
702             835
723             837
800             843
791             841
761             840
809             839
711             836
758             843
808             842
739             837
769             838
711             836
804             841
705             838
760             839
704             834
695             832
747             839
690             836
685             835
763             840
718             832
709             836
774             841
694             836
707             835
697             833
807             840
690             834
760             843
817             842
716             836
744             835
691             835
794             841
798             843
716             836
775             840
726             835
746             839
690             836
736             838
790             841
727             833
717             836
724             837
765             843
739             837
733             837
713             834
787             842
729             840
742             839
742             838
749             836
751             839
751             840
740             841
740             838
740             838
740             836
749             840
750             840
743             840
739             838
741             835
739             838
749             839
750             842
749             839
742             838
740             834
740             839
747             839
746             841
751             839
741             836
742             838
740             839
750             843
750             840
751             839
740             832
741             840
740             839
751             843
750             838
